,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,,,,,Average sum (7 months),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,м²,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,305,,,,,,,,,,,,,,,,,м2,305,630,487,273,296,118,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,38,25,24,15,16,16,14,15,14,,,,19,,,,Average sum (7 months),€168.09,€194.10,€590.98,€94.69,€78.97,€56.86,€37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,€196,€129,€123,€80,€83,€79,€65,€72,€72,€86,,,€98,85,€82,,Per m²,€0.55,€0.31,€1.21,€0.35,€0.27,€0.48,€0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.64,€0.42,€0.40,€0.26,€0.27,€0.26,€0.21,€0.24,€0.23,€0.28,,,€0.32,,€0.27,,,,,,,,,,,Handheld vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,630,,,,,,,,,,,,,,,,,,,,,,,,,,Curtain steamer / iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,18,19,13,16,19,17,13,14,14,,,,16,,,,,,,,,,,,,Steam cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,€88,€95,€67,€80,€94,€87,€65,€69,€71,€84,,,€80,85,€77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.14,€0.15,€0.11,€0.13,€0.15,€0.14,€0.10,€0.11,€0.11,€0.13,,,€0.13,,€0.12,,Target April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prague,487,,,,,,,,,,,,,,,,,Per m²,€0.33,€0.13,€0.48,€0.28,€0.25,€0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,31,80,98,71,45,49,43,34,34,,,,54,,,,In money,€102,€81,€233,€77,€73,€28.00,€27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,€176,€452,€557,€404,€253,€279,€245,€196,€195,€193,,,€295,180,€290,,Cleaning hours,19.5,16.1,41,14,13,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.36,€0.93,€1.14,€0.83,€0.52,€0.57,€0.50,€0.40,€0.40,€0.40,,,€0.61,,€0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaltskaya,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,21,16,26,22,19,16,33,16,12,,,,20,,,,Target for May,,,,,,,,,June,,,,,,,,,July,,,,,,,,,August ,,,,,,,,,,September,,,,,,,,,,October,,,,,,,na,22.10
In money,,€118,€87,€145,€121,€105,€86,€173,€81,€81,€93,,,€109,75,€111,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,Anmut,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,Anmut,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,Anmut
Per m² (Average),,€0.43,€0.32,€0.53,€0.44,€0.39,€0.32,€0.64,€0.30,€0.30,€0.34,,,€0.40,,€0.41,,In money,€101,€101,€243,€81,€76,€28,€27,,In money,€90,€90,€180,€84,€75,€20,€20,,In money,€91,€95,€187,€87,€77,€20,€20,,In money,€91,€95,€198,€87,€77,€20,€20,€95,,In money,€78,€93,€193,€85,€75,€20,€25,€84,,In money,€88,€97,€191,€89,€79,€20,€25,€87
