,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekly, collected together",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total for February(7.02 - 28.02),,,,,,,,1.03 - 8.03,,,,,,,9.03 - 15.03,,,,,,16.03 - 22.03,,,,,,23.03 - 31.03,,,,,,,Total for March,,,,,,,old,,1 kompl,,komplekti,eur/kompl,,,,,,,1.04 - 6.04,,,,,,,7.04-13.04,,,,,,,,14.04-20.04,,,,21.04-27.04,,,,,,,,28.04-30.04,,,,,,,,Total for April,,,,,,,new,,old,,,1.05-8.05,,,,,,,,9.05-15.05,,,,,,,,16.05-22.05,,,,,,,,23.05-29.05,,,,,,,,30.05-31.05,,,,,,,,,MAY,,,,,new,,old,At the end of the month according to the program,,,,1.06-7.06,,,,,,,,8.06-14.06,,,,,,,,15.06-21.06,,,,,,,June,,,,,,,,,July,,,,,,,,August ,,,,,,,September,,,,,,,,Octaber,,,,,,
,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,,Qty,kg,/hours,/money,per kg,за,,Qty,kg,/hours,/money,per kg,за,Qty,kg,/hours,/money,per kg,за,Qty,kg,/hours,/money,per kg,за,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,Qty sets,Per set,План,,kg,,,,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-о,кг ,В часах,В деньгах,за кг,"К-во 
комп.",За комп,,Кол-о,кг ,В часах,В деньгах,за кг,"К-во 
комп.",За комп,,Кол-о,кг ,В часах,В деньгах,за кг,"К-во 
комп.",За комп,,Кол-о,кг ,В часах,В деньгах,за кг,"К-во 
комп.",За комп,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,Qty sets,Per set,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,Qty sets,Per set,,,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,,Кол-во,Кг,В часах,В деньгах,За кг,"К-во 
комп.",За комп,Qty,kg,/hours,/money,per kg,Qty sets,Per set,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,,Qty,kg,/hours,/money,per kg,Qty sets,Per set,,Qty,kg,/hours,/money,per kg,Qty sets,Per set
140,ML,1434,524,38,€198,€0.38,233,€0.85,,508,183,14,€76,€0.42,,,413,146,13,€71,€0.49,,522,184,15,€85,€0.46,,663,240,19,€106,€0.44,,,2106,753,60.48,€339,€0.45,,,305,€1.11,€1.04,,4.62,,163,€2.08,,390,138,12,€68,€0.49,75,€0.90,,546,194,16,€88,€0.45,115,€0.77,,846,303,24,€132,€0.44,172,€0.77,,765,279,25,€137,€0.49,146,€0.94,,199,71,3,€14,€0.20,84,€0.17,,2746,985,79,€440,€0.45,592,€0.74,434,€1.01,,651,227,17,€97,€0.43,130,€0.75,,586,209,16,€88,€0.42,128,€0.68,,314,110,8,€47,€0.43,90,€0.52,,427,148,11,€62,€0.42,110,€0.57,,0,0,0,€0,€0.00,115,€0.00,,,1978,694,52,€291,€0.42,573,€0.51,377,€0.77,,€0.94,,557,198,15,€76,€0.38,117,€0.65,,471,166,13,€70,€0.42,109,€0.64,,698,246,20,€94,€0.38,88,€1.07,2315,820,64,€320,€0.39,305,€1.05,,"2,896","1,047",69,€336,€0.32,464,€0.72,,"3,090","1,117",72,€353,€0.32,512,€0.69,,"1,678",610,47,€246,€0.40,286,€0.86,,"2,030",808,58,€319,€0.40,400,€0.80
125,FL,1118,446,47,€235,€0.53,204,€1.15,,141,55,8,€40,€0.72,,,318,115,12,€60,€0.52,,104,38,3,€15,€0.40,,464,178,11,€55,€0.31,,,1027,386,34,€170,€0.44,,,164,€1.04,€1.10,,5.13,,75,€2.26,,452,182,15,€75,€0.41,89,€0.84,,279,109,9,€45,€0.41,80,€0.56,,571,224,17.5,€88,€0.39,108,€0.81,,611,253,19.5,€98,€0.39,106,€0.92,,207,86,5.66,€28,€0.33,65,€0.44,,2120,853,67,€333,€0.39,448,€0.74,359,€0.93,,460,174,10,€50,€0.29,103,€0.49,,563,225,17,€85,€0.38,102,€0.83,,503,196,18.5,€93,€0.47,102,€0.91,,513,192,18.5,€93,€0.48,94,€0.98,,118,47,6,€30,€0.63,56,€0.54,,,2157,834,70,€350,€0.42,457,€0.77,318,€1.10,,€1.05,,373,146,17,€85,€0.58,78,€1.09,,698,265,18,€90,€0.34,90,€1.00,,319,130,13,€65,€0.50,72,€0.91,2128,846,68,€341,€0.40,311,€1.10,,"1,596",637,45,€224,€0.35,283,€0.79,,"2,347",952,108,€535,€0.56,403,€1.33,,"2,329",893,91,€464,€0.52,320,€1.45,,"2,598","1,039",88,€432,€0.42,391,€1.11
140,PRAGUE,2881,1074,155,€868,€0.81,455,€1.91,,1023,377,55,€305,€0.81,,,1020,373,46,€258,€0.69,,1093,400,43,€238,€0.60,,1356,492,51,€283,€0.57,,,4492,1642,194,"€1,084",€0.66,,,686,€1.58,€1.12,,4.54,,362,€3.00,,986,364,46,€257,€0.71,224,€1.15,,1401,498,55,€306,€0.61,207,€1.48,,1196,442,48,€270,€0.61,252,€1.07,,1354,507,52,€292,€0.58,274,€1.07,,630,224,26,€147,€0.65,147,€1.00,,5567,2035,227,"€1,272",€0.62,"1,104",€1.15,686,€1.85,,1407,510,56,€311,€0.61,260,€1.20,,1120,408,39,€220,€0.54,211,€1.04,,1470,540,49,€272,€0.50,252,€1.08,,1335,502,43,€239,€0.48,252,€0.95,,251,85,7,€39,€0.46,105,€0.37,,,5583,2045,193,"€1,093",€0.53,"1,080",€1.01,795,€1.38,,€1.68,,1426,529,46,€266,€0.50,258,€1.03,,1472,542,46,€308,€0.57,289,€1.07,,1397,514,44,€252,€0.49,180,€1.40,6138,2266,187,"€1,067",€0.47,795,€1.34,,"6,009","2,227",174,€988,€0.44,814,€1.21,,"6,323","2,347",191,"€1,108",€0.47,833,€1.33,,"5,523","2,030",141,€806,€0.40,669,€1.21,,"4,741","1,752",125,€724,€0.41,595,€1.22
140,YALTSKAYA ,2039,759,72,€396,€0.52,415,€0.95,,760,276,26,€143,€0.52,,,520,203,21,€117,€0.58,,437,174,28,€154,€0.88,,852,317,44,€249,€0.79,,,2569,970,132.22,726.45,€0.75,,,441,€1.65,€1.26,,4.91,,198,€3.68,,375,141,18,€101,€0.72,74,€1.36,,292,106,23,€127,€1.20,96,€1.32,,491,205,29,€162,€0.79,158,€1.03,,645,244,31,€174,€0.71,163,€1.07,,249,91,10,€57,€0.63,80,€0.72,,2052,787,111,€622,€0.79,571,€1.09,441,€1.41,,671,260,33,€185,€0.71,145,€1.28,,413,164,25,€140,€0.85,100,€1.40,,596,247,24,€134,€0.54,120,€1.12,,508,199,13,€75,€0.38,104,€0.72,,100,42,2,€9,€0.20,74,€0.12,,,2288,914,99.19,549,€0.60,543,€1.01,431,€1.27,,€1.32,,723,168,12,€79,€0.47,119,€0.66,,560,226,16,€91,€0.40,106,€0.86,,608,229,15,€80,€0.35,74,€1.08,2167,845,59,€327,€0.39,342,€0.96,,"3,201","1,266",85,€529,€0.42,571,€0.93,,"3,370","1,343",105,€557,€0.41,529,€1.05,,"2,296",895,63,€362,€0.40,382,€0.95,,"2,572","1,010",82,€472,€0.47,522,€0.90
140,MASARYKA,1156,449,30,€168,€0.37,164,€1.02,,655,258,16,€88,€0.34,,,340,131,11,€61,€0.46,,364,143,11,€63,€0.44,,602,236,19,€106,€0.45,,,1961,769,57,€317,€0.41,,,245,€1.29,€1.18,,4.96,,155,€2.04,,321,124,11,€62,€0.50,53,€1.18,,438,169,15,€82,€0.48,74,€1.10,,591,222,17,€95,€0.43,87,€1.09,,649,252,17,€96,€0.38,102,€0.94,,246,98,8,€46,€0.47,45,€1.02,,2245,865,68,€380,€0.44,361,€1.05,245,€1.55,,578,222,19,€104,€0.47,84,€1.24,,384,144,16,€89,€0.61,59,€1.50,,500,190,14,€80,€0.42,61,€1.31,,556,210,14,€77,€0.37,97,€0.79,,133,52,4,€20,€0.38,37,€0.53,,,2151,825,66,€369,€0.45,338,€1.09,258,€1.43,,€1.33,,566,211,14,€81,€0.38,85,€0.95,,528,205,14,€76,€0.37,83,€0.92,,545,213,14,€77,€0.36,61,€1.26,2341,903,59,€330,€0.37,252,€1.31,,"2,127",780,63,€340,€0.44,297,€1.14,,"2,784","1,128",76,€429,€0.38,317,€1.35,,"1,745",694,41,€227,€0.33,188,€1.21,,"2,001",803,54,€308,€0.38,268,€1.15
5,TALLINN,683,360,53,€265,€0.74,323,€0.82,,683,360,26,€128,€0.36,,,528,275,18,€90,€0.33,,581,296,20,€99,€0.33,,713,364,22,€108,€0.30,,,2505,1295,85,€425,€0.33,,,416,€1.02,€1.10,,5.95,,218,€1.95,,352,177,14,€70,€0.40,90,€0.78,,583,296,17,€84,€0.28,120,€0.70,,524,257,14,€69,€0.27,116,€0.60,,535,259,21,€106,€0.41,120,€0.88,,279,143,7,€37,€0.26,76,€0.48,,2273,1131,73,€365,€0.32,522,€0.70,400,€0.91,,664,340,27,€133,€0.39,130,€1.03,,463,235,20,€102,€0.43,82,€1.24,,510,255,18,€90,€0.35,92,€0.98,,533,263,18,€91,€0.35,101,€0.90,,199,101,6,€28,€0.28,54,€0.53,,,2369,1193,89,€444,€0.37,459,€0.97,351,€1.27,,€1.01,,597,302,19,€93,€0.31,127,€0.73,,516,260,20,€98,€0.38,98,€1.00,,649,332,25,€124,€0.37,110,€1.12,2587,1320,98,488,€0.37,434,€1.12,,"3,392","1,770",108,€542,€0.31,551,€0.98,,"3,072","1,576",103,€516,€0.33,477,€1.08,,"2,188","1,079",71,€353,€0.33,330,€1.07,,"2,494","1,267",80,€398,€0.31,394,€1.01
-,RIGA,713,311,-,€405,€1.30,171,€2.37,,279,121,0,€157,€1.30,,,182,85.70,0,€111,€1.30,,311,129.53,0,€168,€1.30,,451,201.30,0,€262,€1.30,,,1223,537.20,0,€698,€1.30,,,254,€2.75,€2.80,,5.16,,104,€6.71,,38,17,0,€23,€1.30,37,€0.61,,176,78,,€101,€1.30,58,€1.74,,338,152,,€198,€1.30,84,€2.36,,245,119,,€154,€1.30,59,€2.61,,182,77,,€100,€1.30,35,€2.87,,979,443,,€576,€1.30,273,€2.11,221,€2.61,,372,163,0,€212,€1.30,78,€2.72,,212,84,0,€109,€1.30,60,€1.82,,294,115,0,€150,€1.30,67,€2.23,,228,99,,€129,€1.30,65,€1.98,,0,0,0,€0,€0.00,29,€0.00,,,1106,516,0,671,€1.30,299,€2.24,244,€2.75,,€2.62,,223,92,0,€120,€1.30,69,€1.74,,251,114,0,€148,€1.30,56,€2.64,,283,121,,€157,€1.30,58,€2.72,1335,521,0,€677,€1.30,271,€2.50,,"1,208",553,9,€764,€1.38,349,€2.19,,"1,310",576,10,€797,€1.38,315,€2.53,,"1,162",494,8,€683,€1.38,211,€3.24,,"1,065",477,12,€678,€1.42,248,€2.73
