,Unit Cost per Kilogram (Excluding VAT),"price for
set
(excl. VAT)",delivery,Comments,Status,,,,"July, kg",FOT,outsource
Tallinn,,,,,,,,Tallin,"1,770",€542,"2,567€"
Kesklinnapesumaja,1.45€,,3.00€,per 1 trip,"Conducted a linen test, it is satisfactory
",,,,,,
Tallinn Pesumaja,2.50€,,0.00€,"id not provide an exact price for delivery
",,,,,,,
Aberto Clean,4.00€,,0.00€,included,,,,,,,
Pesupanda,5.00€,,0.00€,"10 Euro per trip
(if large volume, then included in price per kg)",,,,,,,
MonoClean OÜ,,,,"Trying to get an answer, calls + emails,
Will add as soon as they reply",,,,,,,
Baltic Clean OÜ,,,,"Trying to get an answer, calls + emails,
Will add as soon as they reply",,,,,,,
Prague,,,,,,,,,,,
"PRÁDELNA NA
 STARÉM MĚSTĚ",€2.60,-,€0.00,"Included in the price per kg
3 times a week, additional transport by agreement","Conducted a linen test, it is not satisfactory.",,,otkazalji nam,,,
PRÁDELNA YAKOMAMA,€2.40,-,€4.00,"100 CZK (Czech Korunas) per trip
3 times a week, additional transport by agreement",,,,https://www.pradelna-stepanka.cz/kontakt Prádelna Štěpánka,,,
Prádelna Vyšehrad,€1.72,-,€4.00,"100 CZK per trip
3 times a week, additional transport by agreement","Conducted a linen test, it is satisfactory.
",,,https://www.praniacisteni.cz/cs/ Praní a čištění,,,
ML+FL,,,,,,,,,,,
OTS prádelna,€1.68,€6.72,€0.00,"Included in the price
3 times a week, additional transport by agreement","Have not been able to take for testing yet, waiting for the date.
",,,,,,
MASSA NEW CLEAN,€1.38,€5.52,€0.00,"Included in the price
3 times a week, additional transport by agreement","Conducted a linen test, it is not satisfactory.",,,,,,
KB,,,,,,,,,,,
OTS Prádelna a čistírna,€1.11,€5.56,€0.00,"Included in the price
3 times a week, additional transport by agreement","Submitted for testing, will return on Dec 22, 2025.",,,,,,
Pradelna Damara ,€3.00,-,€3.00,"Collection 2-4 times a week with 5-day delivery; if needed in 3 [days], then
25 percent [added] to the cost",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"цена за кг
(без ндс)","цена за комплект
(без ндс)",доставка,,,,,,,,
Таллин,,,,,,,,,,,
Kesklinnapesumaja,1.45€,,3.00€,за 1 выезд,,,,,,,
Прага,,,,,,,,,,,
Prádelna Vyšehrad,€1.72,-,€4.00,"100Кс каждый выезд
3 раза в неделю, доп отвоз по договоронести",,,,,,,
"PRÁDELNA NA
 STARÉM MĚSTĚ",€2.60,-,€0.00,"Включена в стоимость цены за кг
3 раза в неделю, доп отвоз по договоронести",,,,,,,
МЛ+ФЛ,,,,,,,,,,,
MASSA NEW CLEAN,€1.38,€5.52,€0.00,"Включена в стоимость цены 
3 раза в неделю, доп отвоз по договоронести",,,,,,,
OTS prádelna,€1.68,€6.72,€0.00,"Включена в стоимость цены 
3 раза в неделю, доп отвоз по договоронести",,,,,,,
