,2022,2022,,,,,,,,,,,,2023,2023,,,,,,,,,,,,2024,2024,,,,,,,,,,,,2025,2025,,,,,,,,,,,,2026,2026,,,,,,,,,,,
Occupancy,,46%,60%,73%,90%,61%,74%,90%,90%,67%,82%,68%,60%,,71%,81%,69%,78%,72%,68%,88%,90%,68%,73%,60%,76%,,57%,81%,80%,70%,77%,80%,91%,92%,78%,82%,57%,72%,,69%,74%,76%,85%,84%,76%,95%,91%,80%,81%,70%,77%,,,,,,,,,,,,,
LOS (Length of Stay),,2,2.26,2.68,2.84,1.81,2.31,2.21,2.06,2.01,2.4,2.13,2.04,,2.08,2.23,2.06,2.09,1.87,1.78,2.6,2.04,1.74,2.28,1.66,2.12,,2.12,2.08,1.99,1.9,2.51,2.25,2.4,2.48,2.43,2.42,1.94,1.73,,1.85,2.02,1.74,1.79,2.39,1.62,2.28,2.08,2.17,,,,,,,,,,,,,,,,
Qty guests,,115,154,176,205,246,192,305,331,210,261,186,200,,243,234,209,291,271,242,259,330,241,255,234,265,,186,262,270,264,205,229,260,272,187,213,169,291,,237,200,262,295,276,271,290,,,,,,,,,,,,,,,,,,
Weather (monthly avg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,January,February,March,April,May,June,July,August,September,October,November,December,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
Electricity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter reading Apts 1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7875,8206,8411,8698,,9021,9303,9620,9913,10218,10439,10829,11168,11439,11740,12023,12343,,,,,,,,,,,,,
Meter reading Apts 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8479,8817,9029,9353,,9647,9968,10172,10415,10675,10922,11298,11731,12020,12261,12485,12803,,,,,,,,,,,,,
"Meter reading Entrance, elevator, laundry
High tariff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166593,167985,169133,170694,,172029,173273,174614,175966,177365,178629,179945,647,1512,2502,3429,4425,,,,,,,,,,,,,
