,,71%,85%,77%,85%,85%,77%,95%,91%,79%,83%,73%,74%,,
Occupancy,,69%,74%,76%,85%,84%,76%,95%,91%,80%,81%,74%,79%,,I have switched to a new plan.
LOS (Length of Stay),,1.85,2.02,1.74,1.79,2.39,1.62,2.28,2.08,2.17,,,,,
Qty guests,,237,200,262,295,276,271,290,,,,,,,
Weather (monthly avg),,,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December,,
Electricity,,,,,,,,,,,,,,,The savings from the night tariff have been taken into account in the cost calculation.
Показания счётчика Ап 1-4,,9021,9303,9620,9913,10218,10439,10829,11168,11439,11740,,,,
Показания счётчика Ап 5-8,,9647,9968,10172,10415,10675,10922,11298,11731,12020,12261,,,,
"Показания счётчика Подъезд, лифт, прачка 
Высокий тариф",,172029,173273,174614,175966,177365,178629,179945,647,1512,2502,,,,
"Показания счётчика Подъезд, лифт, прачка
Низкий тариф",,,,,,,,,239,554,947,,,,
Показания счётчика Админка 1 ,,7414,7647,7879,8068,8256,8441,8667,8896,9080,9306,,,,
Показания счётчика Админка 2 основной,,37650,38874,40061,41020,41981,42887,44058,45224,46164,47314,,,,
Показания счётчика Админка доктор Revelton,,35801,36263,36693,36864,36953,37025,37094,37174,37271,37570,,,,
Расход Ап 1-4,,#VALUE!,282,317,293,305,221,390,339,271,301,-11740,0,,
Расход Ап 5-8,,#VALUE!,321,204,243,260,247,376,433,289,241,-12261,0,,
"Расход Подъезд, лифт, прачка
Высокий тариф",,#VALUE!,1244,1341,1352,1399,1264,1316,1196,865,990,-2502,0,,
"Расход Подъезд, лифт, прачка
Низкий тариф",,,,,,,,,239,315,,,,,
Расход Админка 1 ,,#VALUE!,233,232,189,188,185,226,229,184,226,-9306,0,,
Расход Админка 2 основной,,#VALUE!,1224,1187,959,961,906,1171,1166,940,1150,-47314,0,,
Расход Админка доктор Revelton,,#VALUE!,462,430,171,89,72,69,80,97,299,-37570,0,,
Расход БЛ,,#VALUE!,762,757,788,872,834,1102,1086,843,851,-9744,0,,
Consumption Revelton,,3100,2950,2900,2350,2000,1800,1800,2000,1900,2000,2450,3300,,
Cost high tariff,,6.0Kč,6.0Kč,6.0Kč,6.0Kč,5.5Kč,5.5Kč,5.5Kč,5.5Kč,5.5Kč,5.5Kč,5.5Kč,5.5Kč,,
Cost low tariff,,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,,
,,,,,,,,,,,,,,6859,
Amount for P&L,,"18,600.0Kč","17,700.0Kč","17,400.0Kč","14,100.0Kč","11,000.0Kč","9,900.0Kč","9,900.0Kč","11,191.2Kč","10,450.0Kč","11,000.0Kč","13,475.0Kč","18,150.0Kč",,
Comment,,744.0Kč,708.0Kč,696.0Kč,564.0Kč,440.0Kč,396.0Kč,396.0Kč,447.6Kč,418.0Kč,440.0Kč,539.0Kč,726.0Kč,,
,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,
Показания счётчиков,,2297,2407,2520,2650,2780,2874,3007,3127,3218,3321,,,,
Расход  общий,,#VALUE!,110,113,130,130,94,133,120,91,103,-3321,0,,
Расход  БЛ,,50,47,47,55,58,45,58,55,40,48,,,,
Consumption Revelton,,65,68,64,70,65,44,70,62,48,52,47,54,,A 5 percent reduction in water consumption has been considered.
Cost,,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,,
(+) Fixed cost,,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,,
Оплата общая ,,#VALUE!,"10,125Kč","10,392Kč","11,905Kč","11,905Kč","8,701Kč","12,172Kč","11,015Kč","8,434Kč","9,502Kč","-295,234Kč",335Kč,,
Оплата БЛ,,"4,481Kč","4,225Kč","4,225Kč","5,063Kč","5,330Kč","4,173Kč","5,330Kč","5,063Kč","3,728Kč","4,440Kč",168Kč,168Kč,,
Amount for P&L,,"6,000Kč","5,900Kč","5,900Kč","6,398Kč","5,953Kč","4,084Kč","6,398Kč","5,686Kč","4,440Kč","4,796Kč","4,351Kč","5,497Kč",,
Comment,,240Kč,236Kč,236Kč,256Kč,238Kč,163Kč,256Kč,227Kč,178Kč,192Kč,174Kč,220Kč,,
,,,,,,,,,,,,,,,
Heating Gj (total),,777,825,859,880,899,908,920,930,944,975,,,,A 10 percent reduction in heating consumption has also been considered.
Показания Тепло апарты M1,,2076,2103,2131,2145,2164,2165,2165,2165,2175,2204,,,,
Показания Тепло МД M3,,588,602,623,636,652,654,654,654,660,680,,,,
Показания Тепло БЛ M2,,786,797,808,814,821,822,822,822,825,837,,,,
Показания Горячая вода ,,1094,1101,1110,1120,1131,1139,1149,1159,1168,1177,,,,
Расход всего,,,,,,,,,,,,,,,
Расход апарты M1,,#VALUE!,27,28,14,19,1,0,0,10,29,-2204,0,,
Расход Тепло МД M3,,#VALUE!,14,21,13,16,2,0,0,6,20,-680,0,,
Расход Тепло БЛ M2,,#VALUE!,11,11,6,7,1,0,0,3,12,-837,0,,
Расход Горячая вода ,,#VALUE!,7,9,10,11,8,10,10,9,9,-1177,0,,
Cost,,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,,
Расход БЛ,,-28,-31,-28,-15,5,2,5,3,4,7,,,,
