,,68%,76%,74%,85%,85%,84%,94%,90%,77%,79%,73%,76%,,
,,67%,78%,74%,75%,80%,78%,94%,90%,77%,79%,74%,76%,,
Occupancy,,62%,73%,73%,92%,87%,84%,93%,92%,79%,75%,67%,70%,,
LOS (Length of Stay),,1.64,1.79,2.07,3.02,3.41,3.47,2.36,2.9,,1.9,,,,
Qty guests,,512,510,472,425,394,348,557,,,,,,,
Weather (monthly avg),,,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December,,
Electricity,,,,,,,,,,,,,,,
Meter reading #1,,278007,282863,287993,292749,297355,300728,304984,309552,313291,317677,,,,Электрику планировала расход соотносительно загрузке
Consumption,,4986,4856,5130,4756,4606,3373,4256,4568,3739,4386,-317677,0,,Стоимость увеличила на 20 центов с Марта 
Meter reading #2,,1067,1318,1606,1881,2212,2431,2649,2834,3005,3224,,,,
Office meter,,634,737,754,878,1169,1342,1504,1634,1749,1873,,,,
Office consumption,,634,103,17,124,291,173,162,130,115,124,,,,
Tattoo salon meter,,431,576,746,998,1037,1082,1138,1192,1247,1342,,,,
Tattoo salon consumption,,431,145,170,252,39,45,56,54,55,95,,,,
Consumption 25,,5185,5107,5418,5031,4937,3592,4474,4753,3910,4605,4529,5328,,
Total consumption,,5250,5200,5500,5300,5100,3700,4480,4750,3900,4700,4750,5400,,
Cost,,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,,
Amount for P&L,,"32,025 Kč","31,720 Kč","33,550 Kč","32,330 Kč","31,110 Kč","22,570 Kč","27,328 Kč","28,975 Kč","23,790 Kč","28,670 Kč","28,975 Kč","32,940 Kč",,
Comment,,,,,,,,,,,,,,,
,,1281,1269,1342,1293,1244,903,1093,1159,952,1147,1159,1318,,
Water ,,,,,,,,,,,,,,,
Meter readings,,20050,20159,20275,20381,20541,20608,20707,20805,20875,20942,,,,
Consumption,,85,92,93,85,90,70,100,98,70,92,70,96,,Учла экономию 20 процентов 
Cost,,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,,
(+) Fixed cost,,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,,
Amount for P&L,,"8,395 Kč","9,018 Kč","9,107 Kč","8,395 Kč","8,840 Kč","7,060 Kč","9,730 Kč","9,552 Kč","7,060 Kč","9,018 Kč","7,060 Kč","9,374 Kč",,
Comment,,336 Kč,361 Kč,364 Kč,336 Kč,354 Kč,282 Kč,389 Kč,382 Kč,282 Kč,361 Kč,282 Kč,375 Kč,,
,,,,,,,,,,,,,,,
Heating Gj (Gigajoules),,,,,,,,,,,,,,,
Meter readings,,1184,1251,1301,1330,1352,1364,1377,1391,1407,1440,,,,
Consumption,,62,67,49,30,21,13,13,14,16,33,45,60,,По отоплению учла 10 процентов экономиии
Cost,,887Kč,887Kč,749Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,,
Amount for P&L,,"54,994 Kč","59,429 Kč","36,701 Kč","26,610 Kč","18,627 Kč","11,531 Kč","11,531 Kč","12,418 Kč","14,192 Kč","29,271 Kč","39,915 Kč","53,220 Kč",,
Comment,,"2,200 Kč","2,377 Kč","1,468 Kč","1,064 Kč",745 Kč,461 Kč,461 Kč,497 Kč,568 Kč,"1,171 Kč","1,597 Kč","2,129 Kč",,
,,,,,,,,,,,,,,,
Consumption per 1% occupancy,,,,,,,,,,,,,,,
Electricity,,80.42,66.52,70.27,51.70,52.94,40.15,45.76,49.65,47.33,58.48,"-4,741.45",0.00,,
Water,,1.37,1.26,1.27,0.92,1.03,0.83,1.08,1.07,0.89,1.23,1.04,1.37,,
"Gas (heating), m3",,1.00,0.92,0.67,0.33,0.24,0.15,0.14,0.15,0.20,0.44,0.67,0.86,,
