,,15.04,16.04,17.04,18.04,19.04,20.04,21.04,22.04,23.04,24.04,25.04,26.04,27.04,28.04,29.04,30.04,01.05,02.05,03.05,04.05,05.05,06.05,07.05,08.05,09.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,26.05,27.05,28.05,29.05,30.05,31.05,01.06,02.06,03.06,04.06,05.06,06.06,07.06,08.06,09.06,10.06,11.06,12.06,13.06,14.06,15.06,16.06,17.06,18.06,19.06,20.06,21.06,22.06,23.06,24.06,25.06,26.06,27.06,28.06,29.06,30.06,01.07,02.07,03.07,04.07,05.07,06.07,07.07,08.07,09.07,10.07,11.07,12.07,13.07,14.07,15.07,16.07,17.07,18.07,19.07,20.07,21.07,22.07,23.07,24.07,25.07,26.07,27.07,28.07,29.07,30.07,31.07,01.08,02.08,03.08,04.08,05.08,06.08,07.08,08.08,09.08,10.08,11.08,12.08,13.08,14.08,15.08,16.08,17.08,18.08,19.08,20.08,21.08,22.08,23.08,24.08,25.08,26.08,27.08,28.08,29.08,30.08,31.08,01.09,02.09,03.09,04.09,05.09,06.09,07.09,08.09,09.09,10.09,11.09,12.09,13.09,14.09,15.09,16.09,17.09,18.09,19.09,20.09,21.09,22.09,23.09,24.09,25.09,26.09,27.09,28.09,29.09,30.09,01.10,02.10,03.10,04.10,05.10,06.10,07.10,08.10,09.10,10.10,11.10,12.10,13.10,14.10,15.10,16.10,17.10,18.10,19.10,20.10,21.10,22.10,23.10,24.10,25.10,26.10,27.10,28.10,29.10,30.10,31.10,01.11,02.11,03.11,04.11,05.11,06.11,07.11,08.11,09.11,10.11,11.11,12.11,13.11,14.11,15.11,16.11,17.11,18.11,19.11,20.11,21.11,22.11,23.11,24.11,25.11,26.11,27.11,28.11,29.11,30.11,01.12,02.12,03.12,04.12
Occupancy,,100%,100%,100%,100%,100%,100%,83%,100%,100%,92%,100%,93%,92%,100%,92%,83%,100%,100%,100%,78%,94%,94%,83%,100%,100%,94%,67%,89%,72%,89%,83%,100%,100%,90%,89%,100%,89%,88%,88%,88%,87%,72%,72%,86%,86%,87%,87%,61%,72%,72%,76%,94%,100%,100%,100%,89%,78%,94%,89%,78%,89%,72%,94%,78%,83%,94%,89%,83%,50%,56%,94%,89%,72%,89%,94%,89%,78%,89%,100%,94%,100%,100%,100%,94%,100%,100%,94%,100%,100%,72%,78%,89%,89%,89%,89%,94%,94%,78%,94%,94%,89%,100%,100%,83%,84%,100%,100%,78%,100%,100%,78%,100%,100%,100%,100%,94%,100%,94%,89%,100%,89%,89%,100%,100%,78%,83%,100%,94%,100%,100%,100%,56%,89%,94%,94%,89%,89%,100%,44%,50%,61%,61%,67%,78%,94%,83%,83%,89%,94%,67%,100%,100%,56%,50%,89%,67%,83%,89%,100%,56%,83%,78%,83%,72%,72%,100%,78%,94%,89%,83%,100%,100%,100%,72%,64%,75%,67%,56%,75%,75%,64%,83%,92%,78%,67%,81%,64%,47%,72%,75%,67%,67%,67%,100%,83%,100%,61%,61%,39%,100%,100%,28%,17%,44%,44%,39%,67%,83%,33%,39%,56%,61%,50%,78%,78%,72%,33%,33%,39%,28%,50%,78%,44%,56%,56%,56%,50%,50%,50%,67%,,,,
Number of arrivals,,2,3,3,15,4,8,14,6,4,5,6,2,3,6,4,10,10,8,2,5,5,1,4,6,7,4,1,6,0,4,2,9,5,6,4,5,1,1,4,5,1,3,2,3,8,2,11,3,5,2,4,5,4,3,5,6,2,4,2,2,4,3,9,2,5,6,4,0,1,1,7,5,2,6,7,5,9,2,3,3,15,4,10,9,10,10,9,15,10,10,10,5,6,3,7,3,4,4,6,6,5,8,3,4,4,7,5,13,10,5,3,6,1,3,8,8,7,7,5,4,4,4,8,5,1,5,7,6,5,5,4,1,8,7,4,7,7,6,7,2,3,3,4,8,9,7,5,5,6,2,9,6,8,0,8,4,8,7,8,1,6,3,6,5,5,6,6,5,3,4,8,6,6,5,5,5,5,5,5,11,8,7,6,5,8,7,11,4,6,7,6,6,7,9,7,10,6,6,3,16,7,4,1,5,6,2,10,12,4,1,5,3,1,8,4,6,2,2,3,1,5,10,4,5,2,3,2,3,14,8,,,,
Number of occupied apartments,,18,18,18,18,18,18,15,18,18,16,18,17,15,18,17,15,18,18,18,14,17,17,15,18,18,17,12,16,13,16,15,18,18,15,13,18,13,13,14,18,11,12,13,14,18,18,18,7,16,13,16,17,18,18,18,16,14,17,16,14,16,13,17,14,16,17,16,15,9,10,17,16,13,16,17,16,14,16,18,17,18,18,18,17,18,18,17,18,18,13,13,16,16,16,16,17,17,14,17,17,16,18,18,15,17,18,18,14,18,18,14,18,18,18,18,17,18,17,16,18,16,16,16,18,14,15,18,17,18,18,18,9,16,17,17,16,16,18,8,9,11,11,12,14,17,15,15,16,17,12,18,18,10,9,16,13,15,16,18,10,15,15,15,13,13,18,14,17,17,15,18,18,18,13,10,13,15,10,10,17,10,13,17,16,12,12,17,6,11,16,12,12,12,18,15,18,11,7,11,18,18,5,3,8,8,7,12,15,6,7,10,11,9,14,14,13,6,6,7,5,9,14,8,10,10,10,9,9,18,11,,,,
Number of guests,,41,46,57,80,57,74,80,47,54,57,48,48,46,46,58,56,58,72,59,68,42,41,49,50,59,52,39,37,43,35,44,62,66,68,42,38,40,30,42,50,48,29,31,41,64,55,69,51,22,27,33,47,41,47,54,50,25,27,32,27,37,44,46,35,35,40,44,36,35,12,24,40,33,37,52,37,31,33,32,41,65,56,77,67,69,71,65,80,74,64,40,50,43,43,56,43,52,53,39,51,58,63,52,51,43,56,49,59,55,57,52,47,45,46,64,60,54,60,55,55,63,58,53,55,48,54,58,60,57,56,52,43,37,51,44,55,57,51,50,15,19,25,29,39,52,57,39,35,40,34,42,53,49,18,31,36,34,46,59,47,32,35,39,34,37,45,51,34,37,40,48,55,58,62,40,30,37,50,42,49,66,50,49,54,60,46,54,52,27,38,45,42,51,52,64,62,60,43,38,59,66,59,16,18,27,18,35,54,40,9,19,19,17,33,41,46,13,11,13,11,16,38,36,19,15,16,16,18,52,55,,,,
Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter reading No. 1,290316,290480,290636,290873,290957,291157,291308,291437,291583,291743,291889,292042,292202,292377,292532,292701,292860,293008,293135,293263,293435,293606,293765,293925,294152,294246,294406,294562,294745,294882,295016,295164,295300,295433,295616,295732,295890,296028,296163,296323,296504,296593,296730,296836,296982,297116,297226,297324,297438,297543,297645,297732,297847,297955,298084,298206,298333,298422,298565,298697,298793,298882,298990,299152,299283,299418,299542,299656,299778,299892,299999,300120,300223,300313,300465,300542,300664,300807,300961,301062,301156,301305,301420,301596,301738,301856,302084,302190,302336,302490,302673,302773,302951,303030,303160,303261,303419,303593,303674,303805,303986,304157,304247,304369,304534,304696,304825,304962,305137,305196,305373,305526,305685,305828,305983,306123,306276,306396,306569,306734,306887,307002,307179,307272,307429,307542,307712,307880,308010,308163,308267,308368,308543,308786,308892,309020,309168,309331,309485,309554,309657,309784,309886,310001,310129,310236,310360,310469,310609,310755,310877,311002,311132,311269,311400,311506,311609,311756,311883,312017,312151,312268,312414,312544,312672,312811,313090,313231,313529,313666,313789,313942,314087,314182,314298,314389,314435,314495,314642,314788,314962,315114,315255,315579,315666,315736,315896,316050,316193,316339,316499,316634,316755,316926,317106,317290,317461,317524,317622,317677,185,366,468,559,689,859,1020,1180,1360,1490,1621,1757,1919,2079,2270,2469,2678,2814,2952,3081,3202,3342,3492,3600,3736,3885,4002,4165,4345,4469,4604,,,,
Consumption,,164,156,237,84,200,151,129,146,160,146,153,160,175,155,169,159,148,127,128,172,171,159,160,227,94,160,156,183,137,134,148,136,133,183,116,158,138,135,160,181,89,137,106,146,134,110,98,114,105,102,87,115,108,129,122,127,89,143,132,96,89,108,162,131,135,124,114,122,114,107,121,103,90,152,77,122,143,154,101,94,149,115,176,142,118,228,106,146,154,183,100,178,79,130,101,158,174,81,131,181,171,90,122,165,162,129,137,175,59,177,153,159,143,155,140,153,120,173,165,153,115,177,93,157,113,170,168,130,153,104,101,175,243,106,128,148,163,154,69,103,127,102,115,128,107,124,109,140,146,122,125,130,137,131,106,103,147,127,134,134,117,146,130,128,139,279,141,298,137,123,153,145,95,116,91,46,60,147,146,174,152,141,324,87,70,160,154,143,146,160,135,121,171,180,184,171,63,98,55,185,181,102,91,130,170,161,160,180,130,131,136,162,160,191,199,209,136,138,129,121,140,150,108,136,149,117,163,180,124,135,-4604,0,,
Meter reading No. 2,1714,1721,1735,1745,1747,1755,1761,1765,1781,1791,1800,1809,1822,1836,1854,1873,1890,1901,1928,1940,1959,1979,1999,2016,2040,2046,2051,2056,2066,2072,2080,2089,2096,2101,2110,2117,2122,2133,2143,2149,2157,2161,2174,2179,2188,2196,2203,2209,2217,2225,2234,2242,2251,2259,2265,2271,2279,2285,2295,2301,2311,2317,2325,2335,2342,2349,2358,2364,2372,2379,2386,2392,2400,2407,2411,2423,2428,2436,2444,2449,2456,2462,2470,2474,2484,2491,2500,2520,2523,2525,2527,2533,2545,2550,2558,2567,2574,2582,2587,2595,2602,2609,2615,2622,2628,2636,2642,2648,2658,2662,2668,2672,2677,2682,2687,2691,2696,2703,2708,2715,2722,2731,2738,2743,2751,2756,2763,2769,2776,2782,2790,2792,2797,2807,2811,2817,2823,2827,2831,2834,2839,2847,2853,2863,2866,2870,2873,2886,2890,2894,2898,2906,2911,2914,2920,2927,2933,2939,2945,2949,2953,2962,2965,2973,2980,2989,2998,3003,3015,3020,3028,3034,3040,3047,3051,3057,3062,3065,3074,3081,3086,3092,3100,3116,3120,3124,3134,3138,3145,3151,3159,3165,3168,3175,3180,3187,3195,3200,3210,3220,3226,3235,3241,3243,3253,3263,3266,3270,3275,3277,3281,3287,3296,3302,3310,3320,3327,3334,3345,3351,3356,3363,3370,3376,3381,3388,3392,3395,3401,3405,3409,,,,
Office meter,785,786,794,797,798,800,801,803,814,818,822,826,834,845,859,872,884,890,912,920,934,948,962,973,990,994,995,996,998,1000,1001,1005,1008,1009,1012,1013,1015,1019,1021,1023,1025,1026,1029,1030,1032,1034,1036,1037,1038,1040,1043,1044,1046,1047,1049,1050,1052,1054,1056,1057,1061,1062,1064,1065,1066,1067,1069,1071,1072,1073,1074,1075,1075,1078,1079,1080,1082,1084,1085,1087,1090,1093,1095,1096,1100,1102,1106,1110,1111,1112,1113,1114,1116,1117,1118,1121,1122,1124,1125,1126,1127,1129,1130,1131,1133,1135,1136,1138,1140,1141,1142,1143,1144,1146,1147,1148,1149,1151,1152,1154,1156,1158,1161,1163,1165,1167,1168,1170,1173,1175,1178,1179,1181,1183,1185,1187,1189,1190,1191,1192,1193,1195,1196,1198,1199,1200,1201,1206,1208,1210,1211,1214,1216,1217,1219,1221,1222,1224,1225,1226,1227,1231,1232,1235,1239,1243,1246,1247,1250,1251,1254,1256,1259,1260,1261,1264,1268,1270,1275,1279,1282,1284,1288,1291,1294,1298,1302,1305,1308,1311,1314,1316,1320,1324,1326,1329,1331,1333,1334,1340,1342,1344,1345,1347,1350,1354,1355,1357,1358,1359,1360,1362,1364,1366,1370,1375,1378,1381,1384,1388,1392,1395,1397,1399,1401,1402,1403,1404,1405,1406,1408,,,,
