,2019-2021,2019,,,,,,,,,,,,2020,2020,,,,,,,,,,,,2021,2021,,,,,,,,,,,,2022,2022,,,,,,,,,,,,2023,2023,,,,,,,,,,,,2024,2024,,,,,,,,,,,,2025,2025,,,,,,,,,,,,2026,2026,,,,,,,,,,,
Occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,64%,65%,74%,55%,56%,85%,88%,68%,74%,71%,65%,,74%,83%,69%,78%,78%,65%,90%,89%,68%,71%,53%,71%,,65%,78%,67%,55%,76%,57%,84%,90%,75%,79%,67%,70%,,62%,73%,73%,92%,87%,84%,93%,92%,79%,75%,54%,77%,,,,,,,,,,,,,
Los,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.12,2.35,1.99,1.77,1.95,2.33,2.01,2.1,1.92,1.72,1.74,,1.77,1.94,1.82,2.02,1.82,1.64,1.91,1.86,1.75,1.8,1.66,1.82,,1.89,2.16,1.99,1.62,1.91,1.72,1.82,1.77,1.77,1.91,1.88,1.69,,1.64,1.79,2.07,3.02,3.41,3.47,2.36,2.9,2.6,1.9,1.89,1.99,,,,,,,,,,,,,
Qty guests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,331,320,496,427,375,552,704,437,572,561,531,,565,565,505,514,612,522,756,771,541,570,407,533,,501,500,472,469,561,487,698,766,526,553,435,583,,512,510,472,425,394,348,557,,,,,,,,,,,,,,,,,,
Weather (monthly average),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,,January,February,March,April,May,June,July,August,September,October,November,December,,January,February,March,April,May,June,July,August,September,October,November,December,,Январь,Февраль,Март ,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
Electricity,,,,11914,15482,19536,22784,26651,30665,33497,37936,42089,46566,,51017,55525,59022,59700,60061,61906,65659,69833,72186,74395,76591,78833,,80968,83042,85665,88227,90480,93156,96766,100685,103863,107163,110688,114264,,118053,121824,126154,130594,134107,137634,141640,146201,149687,154143,158816,163447,,167992,172740,177031,181243,185457,189016,193575,197936,202068,206619,211060,216094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter reading №1,,,,,3568,4054,3248,3867,4014,2832,4439,4153,4477,,4451,4508,3497,678,361,1845,3753,4174,2353,2209,2196,2242,,2135,2074,2623,2562,2253,2676,3610,3919,3178,3300,3525,3576,,3789,3771,4330,4440,3513,3527,4006,4561,3486,4456,4673,4631,,4545,4748,4291,4212,4214,3559,4559,4361,4132,4551,4441,5034,,221130,226604,230910,235924,240324,244197,249348,254374,258851,263595,267883,273021,,278007,282863,287993,292749,297355,300728,304984,309552,313291,317677,4469,9191,,-9191,0,0,0,0,0,0,0,0,0,0,0
Consumption,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,5036,5474,4306,5014,4400,3873,5151,5026,4477,4744,4288,5138,,4986,4856,5130,4756,4606,3373,4256,4568,3739,4386,4469,4722,,,,,,,,,,,,,
Meter reading №2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,22,191,437,678,868,,1067,1318,1606,1881,2212,2431,2649,2834,3005,3224,3405,3611,,,,,,,,,,,,,
Office meter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.5,285.7,390,515,,634,737,754,878,1169,1342,1504,1634,1749,1873,1988,2112,,,,,,,,,,,,,
Office consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.5,147.2,104.3,125,,634,103,17,124,291,173,162,130,115,124,115,124,,,,,,,,,,,,,
